model,quantile,threshold,fpr_val,fpr_test,n_val,n_test
gated,0.95,-2.259755849838257,0.05000065005859814,0.05167340387587683,538413,538304
gated,0.99,-1.3858357667922974,0.010001615859943946,0.009011636547378432,538413,538304
gated,0.999,-0.07526960223913193,0.0010010902411345937,0.0006929170134347878,538413,538304
gaussian,0.95,-2.163525342941284,0.05000065005859814,0.0709766228748068,538413,538304
gaussian,0.99,-0.9583861827850342,0.010001615859943946,0.02109588633931756,538413,538304
gaussian,0.999,5.118879795074463,0.0010010902411345937,0.003930864344311022,538413,538304
mse,0.95,0.004877982195466757,0.05000065005859814,0.054116261443347996,538413,538304
mse,0.99,0.041058845818042755,0.010001615859943946,0.011720143264772323,538413,538304
mse,0.999,0.3950778543949127,0.0010010902411345937,0.0013449649268814647,538413,538304
