model,quantile,threshold,fpr_val,fpr_test,n_val,n_test
gated,0.95,0.3665536344051361,0.05004030091348737,0.018600640551860063,14888,16236
gated,0.99,1.8792494535446167,0.010008060182697474,0.0011086474501108647,14888,16236
gated,0.999,4.261176109313965,0.0010075228371843096,0.00030795762503079576,14888,16236
gaussian,0.95,0.7212567925453186,0.05004030091348737,0.02820891845282089,14888,16236
gaussian,0.99,4.692976474761963,0.010008060182697474,0.004188223700418822,14888,16236
gaussian,0.999,70.3140869140625,0.0010075228371843096,0.0005543237250554324,14888,16236
mse,0.95,0.7833178043365479,0.05004030091348737,0.023527962552352795,14888,16236
mse,0.99,2.143232583999634,0.010008060182697474,0.0013550135501355014,14888,16236
mse,0.999,4.976595878601074,0.0010075228371843096,0.0003695491500369549,14888,16236
