split_id,model,best_threshold_mean,best_threshold_std,best_f1_mean,best_f1_std,precision_best_mean,precision_best_std,recall_best_mean,recall_best_std,adj_f1_best_mean,adj_f1_best_std,adj_precision_best_mean,adj_precision_best_std,adj_recall_best_mean,adj_recall_best_std,auroc_mean,auroc_std,pr_auc_mean,pr_auc_std,n_files
train_AD_val_B_test_C,gated,-0.06479569673538207,1.094875298360275,0.07664009886110706,0.038578331243054896,0.05566944627258754,0.04968296157847753,0.49999999999833344,0.4189935029978212,0.27478637007197665,0.2691066259810456,0.18618960954569638,0.21695958333168863,0.9999999999966669,0.0,0.6938944268092526,0.1292867206518019,0.036713685959632175,0.019515370162104903,5
train_AD_val_B_test_C,gaussian,4.203529506921768,5.087973758066942,0.15405258019712473,0.16146152869434666,0.1790695219828226,0.2509649476933762,0.25999999999913337,0.13207741837395276,0.5230277727485027,0.3462844066303788,0.4194037718661896,0.3497109392488711,0.9999999999966669,0.0,0.7753949048173012,0.053343160403247186,0.08173830246517688,0.08397535518676305,5
train_AD_val_B_test_C,mse,0.7487005295231939,0.6766101187625361,0.06864117511811854,0.02128652759156168,0.05066335515537177,0.031217719731897162,0.36666666666544445,0.35197853469787466,0.32139688225188767,0.2766959832538572,0.22242635773398942,0.23667097176004187,0.9999999999966669,0.0,0.6644890626149962,0.12565393081024645,0.030608576876120386,0.011497175817826359,5
train_BC_val_A_test_D,gated,0.6335527002811432,0.35195454711184515,0.12000706049364183,0.08890690564989022,0.0947687505540956,0.08030916936003771,0.20952380952311112,0.13839595063914067,0.41597612433485676,0.24717030346047159,0.2893047495859905,0.20219489117909914,0.8571428571400002,0.3779644730079674,0.7590051928688951,0.139090355331694,0.061309204585114956,0.03260614258603805,7
train_BC_val_A_test_D,gaussian,1.0755051161561693,0.9258555683498292,0.13624935228426757,0.0960417161596294,0.11341069358181168,0.08524229599130824,0.31428571428466673,0.3242410756390594,0.4484572357990771,0.30653179316110346,0.3298384165669167,0.24217276227581327,0.8571428571400002,0.3779644730079674,0.7945201155428929,0.13306924128357026,0.0860425287007299,0.06156326896416052,7
train_BC_val_A_test_D,mse,0.2747724244504103,0.3304104023199941,0.0727156684258261,0.029238688966708778,0.047926184521283374,0.037063926733087914,0.5952380952361113,0.339623196120563,0.20841341341287375,0.23598886697097468,0.13693381206455582,0.1833393129496649,0.9999999999966668,0.0,0.6911005272857098,0.1550917637306278,0.03993980027805769,0.034163470989338675,7
train_BC_val_D_test_A,gated,0.2691203249352319,0.4435732676518167,0.1674029368467151,0.1302751582641087,0.1519088085315668,0.19848395209885686,0.4333333333318889,0.22277708506329544,0.37807228074299803,0.2697399407154886,0.26956254546726643,0.2593825129410207,0.9999999999966668,0.0,0.7842542619553735,0.09616037859958944,0.09086671548528742,0.09130405380384768,7
train_BC_val_D_test_A,gaussian,4.876514860561916,10.632901280638265,0.2528968094074628,0.19478554684479413,0.3183823121438114,0.3713874240692403,0.40476190476055557,0.2312835132293413,0.5663857888929413,0.32015524466604584,0.46141349243273755,0.35132812462806684,0.9999999999966668,0.0,0.8424875441444313,0.07575262001457261,0.19864936889778878,0.2055484926367129,7
train_BC_val_D_test_A,mse,0.3731038751346724,0.404962321754907,0.06585652674141214,0.02425470804833993,0.040151962065526514,0.014402808150006854,0.45714285714133335,0.3041163798386334,0.256224262511064,0.23987154152142565,0.1688364683614993,0.18652299463830047,0.9999999999966668,0.0,0.7260031981648961,0.07583131471451289,0.03263546681979,0.012281194572776589,7
train_CD_val_A_test_B,gated,0.39920447021722794,0.512113959368821,0.07210981070424201,0.02380018273114037,0.0417616447768598,0.018002447444885872,0.5904761904742222,0.359379241404645,0.19018630722907184,0.15419050164978207,0.11222678040154906,0.09783623339468037,0.9999999999966668,0.0,0.7427855506351814,0.07041429803477818,0.033081538903249406,0.01380583085486653,7
train_CD_val_A_test_B,gaussian,1.1680994544710432,0.600491427965794,0.1054917348453848,0.03513727843728943,0.07710689161167354,0.037827494670227835,0.342857142856,0.24923162342685976,0.3887749725585586,0.23810828241911103,0.2655103011237928,0.19285044474838414,0.9999999999966668,0.0,0.7835240341943608,0.0673066400684582,0.05001763900889,0.021697533124149123,7
train_CD_val_A_test_B,mse,0.5479586997202465,0.2714260075032516,0.0787923686818571,0.0361094530250583,0.04747567561012165,0.02214765385516566,0.3190476190465556,0.17197883467602168,0.2855957878245793,0.15092189521542942,0.17466551654004311,0.10724112475055034,0.9999999999966668,0.0,0.752473798661087,0.06199353661881669,0.039093597929920676,0.020035071655433993,7
