split_id,model,filename,best_threshold,best_f1,precision_best,recall_best,adj_f1_best,adj_precision_best,adj_recall_best,auroc,pr_auc
9,gated,2018-03-07_Seat_Leon_S_RT_Normal.csv,-2.6577391624450684,0.03814713894909012,0.020833333333327132,0.22580645161217483,0.1585677749213807,0.0861111111110872,0.9999999999967742,0.9384881068752036,0.011315359097215545
9,gated,2018-03-02_Seat_Leon_RT_S_Normal.csv,-2.021716356277466,0.3548387096262747,0.35483870967627473,0.35483870967627473,0.7560975609267401,0.6078431372537101,0.9999999999967742,0.9883308400825197,0.19409743547519254
9,gated,2018-02-27_Seat_Leon_KA_KA_Normal.csv,-2.005476474761963,0.1308411214539261,0.09210526315777354,0.22580645161217483,0.4732824427112406,0.30999999999968997,0.9999999999967742,0.978229293558616,0.08117543847403637
9,gated,2018-03-22_Seat_Leon_S_RT_Normal.csv,-2.638470411300659,0.0,0.0,0.0,0.0,0.0,0.0,0.6254710821496936,0.0015085450075776037
9,gated,2017-07-11_Seat_Leon_KA_KA_Stau.csv,-2.5250003337860107,0.07648183555287227,0.04065040650405678,0.6451612903204995,0.11610486890287773,0.06163021868786051,0.9999999999967742,0.9620876602164976,0.026763544796344994
9,gated,2018-03-26_Seat_Leon_RT_S_Normal.csv,-2.8548238277435303,0.02620087334981312,0.014051522248240269,0.19354838709614985,0.12836438922188873,0.068584070796445,0.9999999999967742,0.9295546956314937,0.009250667524399172
9,gated,2017-08-02_Seat_Leon_RT_S_Normal.csv,-2.948720693588257,0.0402684563659638,0.021238938053093584,0.3870967741922997,0.10081300812047538,0.053082191780812825,0.9999999999967742,0.9728376093607429,0.016779470046994156
9,gated,2017-08-04_Seat_Leon_S_RT_Normal.csv,-1.7970863580703735,0.3283582089045221,0.30555555555470676,0.35483870967627473,0.7126436781134099,0.5535714285704401,0.9999999999967742,0.9966458213219687,0.22444308817652645
9,gated,2018-03-19_Seat_Leon_RT_KA_Normal.csv,-0.6463839411735535,0.0,0.0,0.0,0.0,0.0,0.0,0.9539532175201275,0.010355524135302625
9,gated,2017-07-07_Seat_Leon_RT_S_Normal.csv,-1.8822307586669922,0.0,0.0,0.0,0.0,0.0,0.0,0.8849926184860261,0.005956848738187926
9,gated,2017-07-31_Seat_Leon_KA_KA_Frei.csv,-2.5730140209198,0.0,0.0,0.0,0.0,0.0,0.0,0.5188128837068868,0.003085526690344966
9,gated,2017-07-26_Seat_Leon_S_KA_Normal.csv,-2.095031261444092,0.0,0.0,0.0,0.0,0.0,0.0,0.5817374883659685,0.0017024122419738701
9,gated,2018-02-14_Seat_Leon_S_RT_Normal.csv,-2.4977691173553467,0.07909604516875737,0.04794520547941922,0.22580645161217483,0.3084577114163907,0.18235294117636333,0.9999999999967742,0.9673455534607867,0.02922308394868714
9,gated,2018-03-23_Seat_Leon_RT_S_Normal.csv,-1.7386306524276733,0.0,0.0,0.0,0.0,0.0,0.0,0.8404470670419899,0.008926736051222359
9,gated,2018-02-26_Seat_Leon_KA_KA_Frei.csv,-1.8079909086227417,0.06060606055606061,0.057142857142693876,0.06451612903204995,0.6526315789020277,0.48437499999924316,0.9999999999967742,0.9304974595297175,0.03346963719160096
9,gated,2017-08-03_Seat_Leon_S_RT_Normal.csv,-1.8900301456451416,0.14035087714287475,0.15384615384556213,0.1290322580640999,0.7380952380469105,0.5849056603762549,0.9999999999967742,0.9774142907783461,0.0866818421165979
9,gated,2017-08-05_Seat_Leon_S_CW_Normal.csv,-1.2595305442810059,0.0,0.0,0.0,0.0,0.0,0.0,0.9613766866269647,0.024048170313000574
9,gaussian,2018-03-07_Seat_Leon_S_RT_Normal.csv,71.39635467529297,0.0,0.0,0.0,0.0,0.0,0.0,0.9323576781641297,0.014064886701858983
9,gaussian,2018-03-02_Seat_Leon_RT_S_Normal.csv,-1.0051321983337402,0.13333333329146485,0.09459459459446676,0.22580645161217483,0.4806201550015023,0.3163265306119221,0.9999999999967742,0.9848138642154467,0.05761355562934951
9,gaussian,2018-02-27_Seat_Leon_KA_KA_Normal.csv,-2.153353214263916,0.09090909088479752,0.052910052910024916,0.32258064516024976,0.2572614107657513,0.14761904761897734,0.9999999999967742,0.9726573615153571,0.03760866961434188
9,gaussian,2018-03-22_Seat_Leon_S_RT_Normal.csv,102.28282928466797,0.0,0.0,0.0,0.0,0.0,0.0,0.6198239574065543,0.009428424598834233
9,gaussian,2017-07-11_Seat_Leon_KA_KA_Stau.csv,-2.548234462738037,0.05391527598720917,0.02807486631015667,0.6774193548365245,0.0785804816147375,0.04089709762532442,0.9999999999967742,0.9504145505997177,0.01881223558959233
9,gaussian,2018-03-26_Seat_Leon_RT_S_Normal.csv,68.00148010253906,0.0,0.0,0.0,0.0,0.0,0.0,0.924362093717173,0.015351699827190084
9,gaussian,2017-08-02_Seat_Leon_RT_S_Normal.csv,31.53547477722168,0.0,0.0,0.0,0.0,0.0,0.0,0.967152360313456,0.01462599410092398
9,gaussian,2017-08-04_Seat_Leon_S_RT_Normal.csv,-2.3229117393493652,0.1191709844411246,0.06478873239434794,0.7419354838685744,0.15736040607679277,0.08539944903578915,0.9999999999967742,0.992547142662108,0.058991986031804944
