model,quantile,threshold,fpr_val,fpr_test,n_val,n_test
gated,0.95,-1.6308168172836304,0.049999906973455806,0.017271144329456277,537481,538123
gated,0.99,-0.8479442000389099,0.010000353500867937,0.0016185890586352934,537481,538123
gated,0.999,0.02509397268295288,0.001000965615528735,0.00018025618678257574,537481,538123
gaussian,0.95,0.8881813287734985,0.049999906973455806,0.030180832263255797,537481,538123
gaussian,0.99,9.295557022094727,0.010000353500867937,0.02277546211553864,537481,538123
gaussian,0.999,47.647220611572266,0.001000965615528735,0.007176797869632036,537481,538123
mse,0.95,0.0055175963789224625,0.049999906973455806,0.05404526474430567,537481,538123
mse,0.99,0.04319426417350769,0.010000353500867937,0.011677627605584598,537481,538123
mse,0.999,0.4104919135570526,0.001000965615528735,0.0012320603282149247,537481,538123
