model,quantile,threshold,fpr_val,fpr_test,n_val,n_test
gated,0.95,0.14124371111392975,0.05004924895345974,0.02080581241743725,16244,15140
gated,0.99,0.7901136875152588,0.010034474267421817,0.0047556142668428005,16244,15140
gated,0.999,1.822101354598999,0.0010465402610194533,0.0006605019815059445,16244,15140
gaussian,0.95,0.5528281331062317,0.05004924895345974,0.023117569352708058,16244,15140
gaussian,0.99,3.6022889614105225,0.010034474267421817,0.004095112285336856,16244,15140
gaussian,0.999,26.296100616455078,0.0010465402610194533,0.000726552179656539,16244,15140
mse,0.95,0.6620601415634155,0.05004924895345974,0.02239101717305152,16244,15140
mse,0.99,1.4719562530517578,0.010034474267421817,0.006208718626155878,16244,15140
mse,0.999,3.4348912239074707,0.0010465402610194533,0.0011228533685601057,16244,15140
